Word,E[I]
brace,5.035620198146465
spilt,5.033900249413765
droit,5.033519806917788
inert,5.033208736400332
royal,5.032767943378111
death,5.032583845631254
pedal,5.031358215977156
locus,5.03125537706501
straw,5.03022599696635
grace,5.03007613872827
split,5.029513394612717
waist,5.028608524191071
maker,5.028167514485589
decal,5.028017269665036
grape,5.027966696195756
poesy,5.027495486548106
lunar,5.0249134779567655
tardy,5.023999435557847
pride,5.022578077428776
medal,5.022503329044209
cable,5.022314040319851
spoke,5.021635632784847
cider,5.020725000296756
stalk,5.020621382105221
smoke,5.020497927108406
guise,5.020483824192133
rayon,5.020357833578614
diary,5.018428149920466
abuse,5.017460877670247
patio,5.014141542053867
ethos,5.013612017989947
place,5.013353031373978
scion,5.012832638699574
steel,5.01271417967519
hoist,5.01246611483927
sharp,5.0112372736796145
argue,5.010705312878228
tidal,5.007022269743965
palsy,5.006421662156302
recap,5.006419407805753
rapid,5.0054879575516384
plead,5.005093091067616
scaly,5.003510602213918
spike,5.0026160149838885
farce,5.001229931935494
dirge,4.999849401709996
tower,4.999786505866088
skirt,4.999221879382152
valet,4.999137311892781
labor,4.9979270390478066
raven,4.996270661221818
reach,4.996170816164281
their,4.9960188323754595
salvo,4.9955442743611265
idler,4.994301531170872
asset,4.993517567530444
cream,4.9935025358305705
olden,4.992680104312314
email,4.992477503810256
loath,4.991551731522855
cruel,4.99059803899532
plait,4.989925846937336
blast,4.9898708098533415
saucy,4.989433206759514
ideal,4.988167781550377
reign,4.988093700921084
stoic,4.987923533173888
pasty,4.987650695818693
daily,4.987118339005688
tense,4.986753507990169
south,4.98321769145518
wrote,4.9830308681392
utile,4.982203357847295
stony,4.982139069833204
party,4.981981937757406
angel,4.980865592110228
rouge,4.978936081003951
sperm,4.978831113537992
hoard,4.978492428282359
model,4.978200701910414
glade,4.9759559831914375
shrew,4.97511303644909
noisy,4.97474021796781
scour,4.974437442746789
blade,4.97411778102839
acute,4.973674088161945
melon,4.971693920757009
grail,4.970780206219721
verso,4.970134626635554
masse,4.969359011608775
eclat,4.966465173556667
spend,4.966295650202417
angle,4.965353820146211
glean,4.964458122623881
plied,4.964284621440787
write,4.9630153055097646
